pubID,topicQuery,tweet,likeCount,replyCount,retweetCount,authorID,dateID,geoID
1080014661171511296,incendio,"Reportan Incendio de Escuela, Av. El Bordo esquina Hidalgo Colonia Equipamiento Colegio Mexico, Compañeros de la Estacion Tlalpan acuden al lugar abordo del Tanque 02-15 y Camioneta 04-80 Precaución en la zona.
#FelizAñoNuevo🎊
#YoSoyBombero
#CDMX",88,0,39,1026582354851246080,d1,12
1080179126734995456,incendio,"#Precaución  ⚠️🚒🚓🚑 Servicios de emergencia trabajan por incendio de vehículo sobre Av. Gran Canal y San Juan de Aragon, Col. José María Morelos y Pavón, GAM. #C5 https://t.co/yMXBcmIUqD",64,0,23,195951901,d2,5
1080646195192549377,tránsito,"Tráfico intenso en Lázaro Cárdenas...use helicóptero!
Y por cierto...en la colonia Benito Juárez en #Guadalajara los ocupantes de un auto compacto asesinaron a balazos a dos personas en los cruces de las calles Sucre y Guaraní
Precaución

#Inseguridad 
#Violencia 
#Violence",0,0,0,43393408,d3,14
1081015412383465472,tránsito,"@lopezobrador_  @Claudiashein @nenulo  @DuniaLudlow @Milenio
@El_Universal_Mx Hoy Eje 1 Norte, una de las principales vialidades de la ciudad, invadida totalmente. #Tráfico, #contaminación, #impunidad, #ambulants 🤔 cero servicios d emergencias, etc. ¿Cuál cambio? ¿Cuál mejora?👎 https://t.co/jumncpgu1i",0,0,0,870146764480757760,d4,10
1081337126011236352,tránsito,"@Claudiashein Urge sistema de transporte obligatorio en Venustiano Carranza, esto sería de gran impacto para disminuir tráfico y contaminación en la zona centro!!! Urge !!!",0,0,0,3027660039,d5,17
1081620564442255360,tránsito,"#Precaución ⚠️ | Se reporta accidente en la glorieta de La Luna con entronque en Av. Cuauhtémoc dirección al Centro, originando tráfico.

Maneje con precaución https://t.co/FsjgcZZ6sp",0,0,0,2169379734,d6,15
1081979698266030080,tránsito,"@C5_CDMX @Claudiashein no entiendo si estamos con una contaminación a niveles impactantes, porqué hay gente haciendo el ciclotón con las calles cerradas y haciendo tráfico más tronando cuetes en la iglesia, un caos dominical en Benito Juárez",0,0,0,852438433,d7,14
1082030541522780162,incendio,"Buenas tardes solo para reportar el incendio 
Está en Av las torres frente a la colonia nueva oxtotitlan desde Reyes Heroles hasta Venustiano Carranza https://t.co/ygiizcZDqc",1,0,1,128765996,d8,17
1082061511324041216,incendio,"Reportan Incendio de Escuela, 16 de Septiembre esquina Lovelia Colonia Xaltocan Compañeros de la Estacion Xochimilco se dirigen al lugar abordo de la Bomba 00-85, precaución en la zona.
🚒🚨🚧
#FelicesReyesMagos
#CDMX
#YoSoyBombero",106,0,51,1026582354851246080,d9,13
1082061965424582657,incendio,"Compañeros de la Estacion Tlalpan se dirigen a Incendio de Casa, Nogales esquina Circuito San Agustin Colonia Parque Nacional abordo de la Camioneta 07-33 y Tanque 02-68, precaución en la zona.
🚒🚨🚧
#FelicesReyesMagos
#CDMX
#YoSoyBombero",93,0,37,1026582354851246080,d10,12
1082105548374532096,incendio,"Reportan Incendio de Casa, Membrillo esquina Privada Membrillo Colonia La Otra Banda Bomberos de la Estacion Magdalena Contreras se aproximan al lugar abordo de la Bomba 00-80 y Tanque 02-41, precaución en la zona.
🚒🚨🚧
#FelicesReyesMagos
#CDMX
#YoSoyBombero",94,0,39,1026582354851246080,d11,8
1082140085997322240,incendio,"PRECAUCIÓN: Incendio 🔥 en departamento sobre Chihuahua y Veracruz colonia Progreso, Álvaro Obregón. 🚒🚨",14,1,12,87350793,d12,10
1082164778699771904,incendio,@OVIALCDMX reportar quema de basura en Manuel Acuña 171 jacandas Iztapalapa lleva desde las 6pm  hasta ahorita pido acudan ya que es mucho humo y olor,0,1,0,245414986,d13,7
1082400527147708416,incendio,"Siguen laborando los Servicios de emergencia 🚨 en un🔥incendio🔥de pastizal sobre Autopista México #Cuernavaca a la altura del Km28, Col. San Mateo #Xalpa, #Xochimilco precaución amigos !!!",0,0,0,141281940,d14,13
1082534406059900930,tránsito,"@SSP_CDMX @Claudiashein @UCS_GCDMX @Excelsior @Radio_Formula @OVIALCDMX @EfektoNoticias @UnoNoticias @Milenio @LaCronicaDeHoy @ImagenTVMex @MeganoticiasTVC Urge orden en el Eje 10 Sur Col. La Otra Banda Alcaldía de Alvaro Obregón restaurantes y bares operan violando diario el Reglamento Tránsito, hasta cuando pondrán un ALTO a estos establecimientos q fomentan esto??",0,0,0,1060876809993183233,d15,10
1082659816156422144,tránsito,Vía 9-1-1 reportan accidente de tránsito en calle Venustiano Carranza esquina Porfirio Díaz Col. Vista Hermosa; atiende unidad perito adscrita a @SSPTM_Puebla precaución.,0,0,0,846928145244663808,d16,17
1082732124661338112,tránsito,"si se preocupara por el medio ambiente sr alcalde @vidallerenas @PrensaVidal vendria a quitar los trailes en doble fila de vallejo que cuasan trafico y generan contaminacion! tambien vendria a recoger toda la basura, cascajo y troncos de arboles caidos que hay aqui @Azcapotzalco_ https://t.co/tDYq6ATYp6",3,0,3,170366148,d17,2
