pubID,topicQuery,typeQuery,tweet,tokens,hashtags,mentions,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude,validacion
1323042059255689219,pirotecnia,palabras clave,"@alc__Iztapalapa @alc__Iztapalapa @C5_CDMX @SSPCMexico hay una celebración grande en calle Guillermo Prieto y avenida Morelos Santa María Aztahuacan con escenario y fuegos artificiales, espero Lena mi denuncia","['celebración', 'grande', 'calle', 'guillermo', 'prieto', 'avenida', 'morelos', 'santa', 'maría', 'aztahuacan', 'escenario', 'fuego', 'artificial', 'esperar', 'lena', 'denuncia']",[],"['alc__Iztapalapa', 'alc__Iztapalapa', 'C5_CDMX', 'SSPCMexico']",1,2,1,327065988,Antonio Ibarra,AntonioIbarra4,2011-06-30 17:11:26,0,16,345,2020-11-01 17:19:42,2020,11,1,17,19,7,Iztapalapa,-99.0567989642,19.3491663204,True
1323064683742580736,tránsito,palabras clave,"Personal de la #CruzRojaMexicana auxilian a un paciente en #Genaro NuÑez, #Cuautepec Barrio Alto, #Gustavo A. Madero debido a un #accidente de #tránsito https://t.co/8Mej8fhH2g","['personal', 'auxiliar', 'paciente', 'niñez', 'barrio', 'alto', 'madero', 'debido']","['CruzRojaMexicana', 'Genaro', 'Cuautepec', 'Gustavo', 'accidente', 'tránsito']",[],1,0,0,476050170,Cruz Roja CDMX,CruzRoja_CDMX,2012-01-27 12:27:33,0,43729,370,2020-11-01 18:49:36,2020,11,1,18,49,5,Gustavo A. Madero,-99.1158642087,19.5040652077,True
1323405292327952384,incendio,palabras clave,"¡Precaución! Debido al #incendio de un transformador, servicios de emergencia laboran sobre Calz. de las Bombas y Canal de Miramontes, colonia Las Campanas, alcaldía Coyoacán.","['precaución', 'debido', 'transformador', 'servicio', 'emergencia', 'laborar', 'call', 'bombas', 'canal', 'miramontes', 'colonia', 'campana', 'alcaldía', 'coyoacán']",['incendio'],[],10,0,0,40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,897302,69,2020-11-02 17:23:04,2020,11,2,17,23,3,Coyoacán,-99.1503763525,19.3266672536,True
1323796271572897792,incendio,palabras clave,"¡Precaución! Debido a un #incendio, hallarás movilización de Servicios de Emergencia  en Parroquia y José Ignacio Bartolache, Alcaldía Benito Juárez.","['precaución', 'debido', 'hallar', 'movilización', 'servicio', 'emergencia', 'parroquia', 'josé', 'ignacio', 'bartolache', 'alcaldía', 'benito', 'juarez']",['incendio'],[],3,0,0,40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,897302,69,2020-11-03 19:16:40,2020,11,3,19,16,14,Benito Juárez,-99.1611346584,19.3806424162,True
1324037881984417794,incendio,coordenadas,Con escape abierto inundando de humo y ruido en la Terminal 1 del @AICM_mx transportistas de la @CTM_MX protestan #Caos #sinAutoridades @sacame_de @Imagen_Mx @MariLoliPellon @JCarlos_Valerio https://t.co/VvZGUcyLIq,"['escape', 'abierto', 'inundar', 'humo', 'ruido', 'terminal', 'transportista', 'protestar']","['Caos', 'sinAutoridades']","['AICM_mx', 'CTM_MX', 'sacame_de', 'Imagen_Mx', 'MariLoliPellon', 'JCarlos_Valerio']",0,0,0,630220760,Hank Scorpio,CescSando,2012-07-08 07:40:10,0,175,997,2020-11-04 11:16:45,2020,11,4,11,16,17,Venustiano Carranza,-99.08253908157349,19.435514339097825,True
1324545292105121796,pirotecnia,palabras clave,"@C5_CDMX en calle bugambilia en la magdalena contreras, entre calles margaritas y Emiliano zapata hay menores de edad que están quemando fuegos artificiales, ya me comunique al 911 y nadie ayuda, el ruido es impresionante, varios vecinos ya salieron a reclamarles","['calle', 'bugambilia', 'magdalena', 'contreras', 'calle', 'margaritas', 'emiliano', 'zapata', 'menor', 'edad', 'quemar', 'fuego', 'artificial', 'comunique', '911', 'nadie', 'ayudar', 'ruido', 'impresionante', 'varios', 'vecino', 'salir', 'reclamar él']",[],['C5_CDMX'],0,1,0,2452071732,chicayeye,nandenaye,2014-04-18 17:43:31,0,30,276,2020-11-05 20:53:01,2020,11,5,20,53,8,La Magdalena Contreras,-99.2684129061,19.2689765031,True
1324717014259257346,tránsito,palabras clave,"#Tránsito | Calzada reducida en calle Vuelta de Obligado entre Gutiérrez y Benito Juárez se realizan trabajos de bacheo asfáltico en caliente. 

Circular con precaución.","['calzada', 'reducido', 'calle', 'vuelta', 'obligado', 'gutierrez', 'benito', 'juarez', 'realizar', 'trabajo', 'bache', 'asfáltico', 'caliente', 'circular', 'precaución']",['Tránsito'],[],1,0,0,1335263659,Centro Integrado de Operaciones Rosario,CIOR_Rosario,2013-04-07 16:43:41,0,29696,189,2020-11-06 08:15:22,2020,11,6,8,15,14,Benito Juárez,-99.1611346584,19.3806424162,True
1324942178678833152,tránsito,palabras clave,"@FerVilchisMx Confirmo y repito lo q aqui escriben, esa maldita feria en Cd Cuauhtemoc aparte d COVID19, desvió d tránsito daño a la infraestructura ruido basura delincuencia etc @alfredodelmazo @DSPyTEcatepec @pciviledomex","['confirmar', 'repetir', 'aqui', 'escribir', 'maldito', 'feria', 'cd', 'cuauhtemoc', 'aparte', 'covid19', 'desviar', 'tránsito', 'daño', 'infraestructura', 'ruido', 'basura', 'delincuencia', 'etc']",[],"['FerVilchisMx', 'alfredodelmazo', 'DSPyTEcatepec', 'pciviledomex']",0,0,0,150416613,Misael Castro,DarKWish1,2010-05-31 16:00:31,0,28,297,2020-11-06 23:10:06,2020,11,6,23,10,15,Cuauhtémoc,-99.1490557562,19.4313734294,True
1325376138445664256,incendio,coordenadas,"Este #antro se incendió en agosto pasado pero ya está funcionando de nuevo. Antes llamado ""Mono"", se ubica en Versalles #64, #ColoniaJuarez. La noche de este sábado vecinos reportaron gente sin sana distancia ni cubrebocas, autos y ruido en el inmueble. Otro caso para @inveacdmx https://t.co/BOjeNKEv09","['incendiar', 'agosto', 'pasado', 'funcionar', 'nuevo', 'llamado', 'mono', 'ubica', 'versailles', 'noche', 'sábado', 'vecino', 'reportar', 'gente', 'sano', 'distancia', 'cubreboca', 'auto', 'ruido', 'inmueble', 'caso']","['antro', '64', 'ColoniaJuarez']",['inveacdmx'],8,2,14,944093036652273664,La Colonia Juárez,LaColoniaJuarez,2017-12-22 00:31:35,0,6032,754,2020-11-08 03:54:30,2020,11,8,3,54,16,Miguel Hidalgo,-99.1843501,19.3998346,True
1325798432473288704,tránsito,palabras clave,Que poca madre tienes @BonafontMexico  hacen un desmadre en calle 11 y el tráfico es terrible por ustedes @Alc_Iztapalapa  deberíamos meter una denuncia quien me ayuda de verdad no se avanza por su culpa,"['poco', 'madre', 'hacer', 'desmedro', 'calle', '11', 'tráfico', 'terrible', 'tú', 'debeer', 'meter', 'denuncia', 'ayuda', 'verdad', 'avanzar', 'culpa']",[],"['BonafontMexico', 'Alc_Iztapalapa']",0,0,0,187425470,Arturo,arturitocohen,2010-09-05 23:22:32,0,1297,2194,2020-11-09 07:52:33,2020,11,9,7,52,7,Iztapalapa,-99.0567989642,19.3491663204,True
